name,lat,lng,region,country,source_url,maps_url
"Die Staudämme sind alle militärisches Sperrgebiet, welches weiträumig umtragen w",38.817776,38.787918,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Euphrat,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=http:%2F%2Fhome.arcor.de%2FLimnologie%2FEuphrat.kmz&sll=49.291098,28.34198&sspn=1.698236,3.348083&ie=UTF8&t=h&ll=38.817776,38.787918&spn=0.247435,0.21904&z=12&iwloc=lyrftr:kml:cOy4tCldDsg2CaaMISB0OmmHLClWBszYI,g8d5f3e3a4deb3e14,,"
Link aufs,34.939985,43.242188,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Euphrat,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=http:%2F%2Fhome.arcor.de%2FLimnologie%2FEuphrat.kmz&sll=49.291098,28.34198&sspn=1.698236,3.348083&ie=UTF8&ll=34.939985,43.242188&spn=17.042915,26.784668&t=p&z=6"
"Nun liegen die Boote gepackt vor uns. Skeptisch beobachtet von Spaziergängern, d",25.13769,-80.939691,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=Flamingo+Camping,+Homestead,+Florida&aq=&sll=25.13769,-80.939691&sspn=0.008644,0.009731&doflg=ptm&ie=UTF8&hq=Flamingo+Camping,&hnear=Homestead,+Miami-Dade+County,+Florida,+Vereinigte+Staaten&ll=25.13769,-80.939691&spn=0.017289,0.019462&t=h&z=16"
Ins Wasser wagt sich keiner der Touristen. Vorsichtshalber haben wir noch 4 Wass,25.142526,-80.50837,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode&q=Whaleback+Key,+Florida,+United+States&aq=0&sll=25.127413,-80.467987&sspn=0.143915,0.155697&ie=UTF8&hq&hnear=Whaleback+Key&ll=25.142526,-80.50837&spn=0.035974,0.038924&t=h&z=15"
Inzwischen haben wir die allgemeinen Wasserstraßen mit ihren Waypoints erreicht,25.132697,-80.692863,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode&q=Crokodile+Dragover,+Florida,+United+States&aq&sll=25.168125,-80.595016&sspn=0.138274,0.155697&ie=UTF8&hq&hnear=Crocodile+Dragover&ll=25.132697,-80.692863&spn=0.069157,0.077848&t=h&z=14"
So erreichen wir erst am späten Nachmittag den Hafen von,25.141866,-80.925293,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode&q=Flamingo+,+Florida,+United+States&aq&sll=25.142876,-80.800323&sspn=0.069152,0.077848&ie=UTF8&hq&hnear=Flamingo,+Cape+Sable,+Monroe+County,+Florida,+Vereinigte+Staaten&ll=25.141866,-80.925293&spn=0.138304,0.155697&t=h&z=13"
Wir sehen nur noch einen ausgebleichten Stangenwald. Das geht so weiter bis zum,25.321063,-81.151543,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.com/maps?f=q&source=s_q&hl=de&geocode&q=Little+Shark+River&aq&sll=25.408392,-81.146736&sspn=0.138001,0.099049&ie=UTF8&hq&hnear=Little+Shark+River&ll=25.321063,-81.151543&spn=0.276201,0.198097&t=h&z=12"
Wir passieren,25.333476,-81.135063,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.com/maps?f=q&source=s_q&hl=de&geocode&q=Shark+River+Island,+FL,+United+States&aq=0&sll=25.300301,-81.025776&sspn=0.552494,0.396194&g=White+Water+Bay&ie=UTF8&hq&hnear=Shark+River+Island&ll=25.333476,-81.135063&spn=0.276172,0.198097&t=h&z=12"
"Vorsichtshalber fragt man uns dann doch noch, ob wir abreisen wollen, und sind e",26.046913,-81.734161,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.com/maps?f=d&source=s_d&saddr=Marco+Island,+Florida,+USA&daddr=Naples+Airport,+Naples,+FL,+United+States&hl=de&geocode=FUzSiwEd3iEh-yn7KTcQxvnaiDFRgKr48FkUtQ;Fd0QjwEdZEwg-yGgsl2PrawOEA&mra=ls&sll=26.042286,-81.747208&sspn=0.274534,0.198097&ie=UTF8&ll=26.046913,-81.734161&spn=0.274523,0.198097&t=h&z=12"
Außer einer Kolonie von Seeschwalben und einem Fischadlerhorst hat die Insel dan,25.940448,-81.714592,Süden,,https://wiki.faltboot.org/wiki/index.php?title=Everglades_oder_die_vergebliche_Suche_nach_Manatees,"http://maps.google.com/maps?f=q&source=s_q&hl=de&geocode&q=Marco+Island,+Florida,+USA&aq=0&sll=25.841612,-81.569023&sspn=0.275002,0.244446&ie=UTF8&hq&hnear=Marco+Island,+Collier+County,+Florida&ll=25.940448,-81.714592&spn=0.274772,0.244446&t=h&z=12"
Gorsk ist eventuell nicht direkt mit ÖPNV erreichbar. Man kommt mit Linienbus vo,51.485279,31.267385,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Snow,"https://www.google.de/maps/place/51%C2%B029'07.0%22N+31%C2%B016'06.7%22E/@51.4852787,31.2673855,370m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d51.485277!4d31.26852?shorturl=1"
Dieser Bus fährt nur 2x täglich. Viel häufiger wird die Verbindung Чернигов — Го,51.694798,31.109009,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Snow,"https://www.google.de/maps/dir/Tschernihiw,+Ukraine/Horodnja,+Tschernihiw,+Ukraine/@51.6947976,31.1090092,10z/am=t/data=!4m13!4m12!1m5!1m1!1s0x46d5488971ee3597:0x2a2348d3e76038b5!2m2!1d31.28935!2d51.4982!1m5!1m1!1s0x46d4d92f27c8f675:0xcf524622e0f744e5!2m2!1d31.5958531!2d51.8911132?shorturl=1"
"N 46.1419° - O 3.41081° km 290,1 laut DKV-Führer (Stand August 2007)",46.130244,3.417606,Nordseeküste,,"https://wiki.faltboot.org/wiki/index.php?title=Allier,_Gew%C3%A4sserbeschreibung","http://maps.google.de/maps?f=q&hl=de&geocode=&ie=UTF8&ll=46.130244,3.417606&spn=0.060553,0.133724&z=13&om=1"
Die POIs von der Rangerstation 'Splavište' bis zum Zusammenfluss von Tara und Pi,43.023726,19.210968,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Tara_Kilometrierung,"https://maps.google.com/maps?q=http://home.arcor.de/Stochod/TaraPOIs.kmz&hl=en&ll=43.023726,19.210968&spn=0.963813,0.837708&sll=43.042798,19.210968&sspn=0.963514,0.837708&t=h&z=10"
"R große Mündung des Poprad , hier hat der Dunajec ein sehr ausgedehntes verzweig",49.58128,20.631509,Nordseeküste,,"https://wiki.faltboot.org/wiki/index.php?title=Dunajec,_Gew%C3%A4sserbeschreibung","http://maps.google.de/maps?f=q&source=s_q&hl=de&geocode=&q=http:%2F%2Fhome.arcor.de%2FStochod%2FDunajec2009.kmz&ie=UTF8&ll=49.58128,20.631509&spn=0.026545,0.052357&t=h&z=15"
Messstation метеостанция Томпа/Tompa (Nord-Baikal,53.584359,103.670676,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Baikalsee,"https://www.google.de/maps/place/55%C2%B007'58.9%22N+109%C2%B043'41.3%22E/@53.5843591,103.6706759,1035871m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.1330394!4d109.7281309?shorturl=1"
Messstation Dorf Бабушкин/Babushkin (Süd-Baikal,51.900798,105.606074,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Baikalsee,"https://www.google.de/maps/place/Babuschkin,+Burjatien,+Russland,+671230/@51.9007977,105.6060736,7.5z/data=!4m5!3m4!1s0x5daf5135515838db:0x4b9ecb3a8d994874!8m2!3d51.7129481!4d105.8730487?shorturl=1"
"54.674141,110.864904",54.674141,110.864904,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Bargusin,"https://maps.google.com/maps?q=54.674141,110.864904&t=h&z=13"
"(Quelle: arctic.net-Daten von Хайластуй , einem Ort 22 km oh der Mündung des Chi",51.169133,107.003162,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Chilok,"https://www.google.de/maps/place/51%C2%B010'11.5%22N+107%C2%B000'27.5%22E/@51.1691327,107.0031618,1547m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.1698668!4d107.0076472?shorturl=1"
Erste Eisenbahnstation am Chilok ist Тарбагатай am Beginn des Unterlaufes (,51.183522,109.088333,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Chilok,"https://www.google.de/maps/place/%D0%A2%D0%B0%D1%80%D0%B1%D0%B0%D0%B3%D0%B0%D1%82%D0%B0%D0%B9/@51.1835221,109.0883325,4615m/data=!3m1!1e3!4m13!1m7!3m6!1s0x5daff7593afea2f3:0xe113d4f9c98350d0!2sTarbagatai,+Burjatien,+Russland,+671110!3b1!8m2!3d51.4751828!4d107.3783352!3m4!1s0x5db0a1328fdfa0a1:0x7149efd97b646c6e!8m2!3d51.1825998!4d109.1017002?shorturl=1"
